Age,Age Midpoint,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
10-12,11.5,"1,361.90","1,450.80","1,525.90","1,518.90","1,565.60","1,611.90","1,549.90","1,614.90","1,763.60","1,794.60","1,751.40","1,832.80","1,774.30","1,708.10","1,915.50","1,841.30","1,780.40","1,804.80","1,572.10","1,445.00","1,402.70","1,374.20","1,315.00","1,290.60","1,250.20","1,137.60","1,109.20","1,035.10",972.4,878.5,783.5,709.7,643.4,541.3,507.3
13-14,14.0,"5,902.30","6,035.00","6,040.60","5,737.60","5,954.90","6,333.90","6,385.20","6,718.60","7,232.70","7,518.70","7,593.10","8,041.50","8,081.80","8,131.50","9,224.30","8,928.80","8,629.80","8,447.30","7,373.20","6,762.70","6,534.90","6,263.80","6,210.20","6,047.40","6,032.40","5,818.30","5,871.40","5,653.10","5,408.50","4,840.40","4,121.90","3,705.90","3,404.20","2,739.10","2,579.90"
15,15.5,"10,103.80","10,410.80","10,296.30","9,537.80","9,598.40","10,330.10","10,438.10","10,672.60","11,728.70","12,106.70","12,093.00","12,841.30","12,613.50","13,106.80","14,405.00","14,459.80","14,611.00","13,682.80","12,238.60","11,213.20","10,763.80","10,480.80","10,414.70","10,241.30","10,086.20","9,775.60","10,196.30","10,041.80","9,788.80","8,965.90","7,356.90","6,672.70","5,970.40","4,918.80","4,633.80"
16,16.5,"12,722.90","12,738.40","13,410.30","12,056.00","12,105.50","12,592.50","13,246.40","12,933.60","13,935.90","14,512.40","14,958.30","15,274.60","15,186.30","15,499.40","16,897.20","17,094.50","17,242.20","16,908.10","15,079.80","13,798.30","13,242.30","12,689.80","12,857.60","12,398.50","12,166.10","11,964.80","12,165.10","12,217.60","12,159.00","11,249.10","9,361.10","8,423.80","7,626.10","6,214.60","5,905.70"
17,17.5,"14,092.30","13,949.60","15,163.20","13,646.60","13,294.60","13,967.60","14,826.70","14,835.30","15,769.70","16,200.50","16,465.30","16,700.20","15,907.40","16,648.70","17,570.00","18,174.00","18,651.70","17,778.20","16,772.90","15,115.30","14,805.10","13,935.80","14,198.90","13,815.30","13,349.50","13,260.70","13,729.00","13,449.20","13,498.50","12,703.70","10,952.10","9,960.50","9,000.40","7,503.00","7,116.40"
18,18.5,"15,031.40","15,072.40","16,425.60","14,979.60","14,690.20","15,238.90","16,539.00","16,311.50","18,090.70","18,537.10","18,896.50","19,311.60","18,240.80","18,085.10","19,009.10","19,393.70","20,068.00","19,506.70","18,029.70","17,311.30","16,792.90","15,984.20","16,410.20","15,888.30","15,701.50","15,484.00","15,912.00","15,730.10","15,264.50","14,943.20","13,404.30","12,494.00","11,474.30","9,831.70","9,297.20"
19,19.5,"13,854.80","13,911.50","15,647.40","14,487.10","14,028.80","14,537.10","15,382.00","15,655.60","16,892.50","17,719.70","17,584.30","17,739.60","17,071.00","17,046.10","17,455.00","18,041.20","18,500.70","18,415.60","17,594.10","16,844.80","17,082.70","16,314.80","17,013.80","16,469.70","16,181.90","16,199.90","16,451.30","16,173.30","15,930.50","15,202.50","14,032.40","13,152.60","12,325.60","10,661.80","9,975.70"
20,20.5,"13,084.70","13,199.00","14,874.50","14,083.60","13,578.20","13,906.00","14,759.80","14,693.20","16,198.40","16,649.80","16,481.40","16,521.60","15,810.80","15,779.00","16,212.10","16,340.90","16,859.90","16,672.20","16,244.50","15,727.10","15,935.90","15,327.30","15,854.40","15,464.90","15,278.00","15,081.50","15,430.70","15,076.40","14,790.90","14,524.10","13,424.60","12,594.50","11,942.70","10,576.30","9,902.20"
21,21.5,"12,284.80","12,854.60","14,409.40","13,563.70","13,345.20","13,547.10","14,200.90","14,478.40","15,480.00","16,130.10","15,662.80","15,599.90","14,927.60","14,632.50","15,154.10","15,401.40","15,306.90","15,438.80","14,737.80","14,569.20","14,701.00","14,328.20","14,188.90","13,955.80","13,971.90","13,875.60","13,929.80","13,733.70","13,421.00","13,190.90","12,777.50","11,659.20","11,323.00","10,274.70","9,830.50"
22,22.5,"11,181.60","11,539.50","13,794.10","13,078.00","12,557.60","13,007.00","13,619.20","13,831.90","15,004.60","15,470.10","15,133.30","14,720.60","14,257.80","13,889.80","14,124.90","14,597.00","14,408.00","14,167.80","13,698.90","13,337.20","13,462.00","13,324.00","13,168.10","12,951.50","13,002.70","12,978.00","13,031.60","12,658.20","12,419.20","12,216.20","11,964.50","11,195.20","10,792.70","9,908.60","9,594.60"
23,23.5,"10,361.30","10,778.20","12,451.90","12,501.80","12,107.00","12,428.20","13,113.20","13,304.10","14,301.00","14,963.00","14,375.60","14,324.70","13,592.00","13,298.20","13,273.80","13,511.00","13,519.90","13,401.90","12,478.30","12,224.90","12,320.30","12,343.30","12,223.90","12,120.20","12,126.80","12,196.30","12,206.50","11,881.20","11,606.00","11,413.20","11,345.10","10,591.20","10,429.10","9,565.40","9,341.70"
24,24.5,"9,710.40","10,064.10","11,678.90","11,308.70","11,479.40","11,737.50","12,179.00","12,619.30","13,585.70","14,170.70","13,785.00","13,423.80","13,164.00","12,553.00","12,615.00","12,712.80","12,433.80","12,610.30","11,890.10","11,315.40","11,514.30","11,445.70","11,373.50","11,364.30","11,448.40","11,470.10","11,495.00","11,211.40","10,896.60","10,712.20","10,773.20","10,147.80","10,002.10","9,384.40","9,021.70"
25-29,27.5,"7,571.00","8,099.10","9,427.80","9,331.20","9,236.30","9,667.00","10,215.40","10,619.80","11,673.20","12,243.50","11,913.80","11,596.70","11,309.20","10,972.00","10,972.10","11,056.30","10,610.80","10,506.20","9,817.20","9,339.10","9,141.40","8,958.30","9,006.40","9,035.60","9,336.90","9,633.00","9,733.20","9,547.40","9,319.90","9,193.60","9,211.80","8,686.90","8,704.90","8,242.60","8,230.40"
30-34,32.5,"5,507.00","5,809.60","6,877.20","6,889.40","6,874.70","7,113.20","7,529.00","7,910.10","8,762.30","9,292.60","9,204.00","9,117.00","9,162.40","9,064.60","9,316.80","9,568.40","9,236.80","9,269.70","8,658.30","8,176.50","7,844.20","7,519.70","7,277.10","7,132.20","7,264.20","7,345.00","7,342.00","7,240.90","7,117.20","7,137.10","7,168.50","6,915.80","7,016.30","6,757.60","6,812.10"
35-39,37.5,"4,503.40","4,751.10","5,210.30","5,186.10","5,102.80","5,255.00","5,415.90","5,711.20","6,307.30","6,642.60","6,645.20","6,652.10","6,837.80","6,867.00","7,203.50","7,632.60","7,613.80","7,821.40","7,481.40","7,238.10","7,082.40","6,819.00","6,635.50","6,462.10","6,561.00","6,537.70","6,457.30","6,193.20","5,927.20","5,761.30","5,569.40","5,303.40","5,316.10","5,140.50","5,301.80"
40-44,42.5,"3,884.10","3,969.00","4,379.00","4,203.30","4,086.60","4,046.60","4,072.60","4,002.40","4,344.70","4,441.00","4,419.90","4,441.20","4,676.10","4,712.90","4,977.70","5,294.10","5,374.30","5,607.40","5,495.00","5,440.00","5,488.60","5,412.90","5,407.20","5,404.40","5,625.40","5,697.30","5,719.20","5,552.60","5,318.80","5,125.60","4,869.40","4,558.40","4,482.10","4,172.90","4,136.70"
45-49,47.5,"3,141.20","3,208.10","3,453.70","3,343.80","3,202.20","3,134.60","3,105.60","3,047.70","3,143.30","3,188.20","3,150.20","3,141.80","3,080.50","3,077.90","3,189.50","3,367.40","3,423.10","3,611.40","3,559.60","3,575.40","3,590.40","3,593.70","3,615.20","3,692.70","3,940.10","4,123.40","4,291.20","4,307.10","4,308.30","4,197.00","4,065.80","3,869.20","3,822.40","3,537.40","3,513.00"
50-54,52.5,"2,417.30","2,424.50","2,588.20","2,516.40","2,448.40","2,361.10","2,318.70","2,221.10","2,258.80","2,215.60","2,204.60","2,176.40","2,174.50","2,093.30","2,111.40","2,160.80","2,208.50","2,193.70","2,139.60","2,142.70","2,143.60","2,121.90","2,133.10","2,186.10","2,367.50","2,470.90","2,625.60","2,704.00","2,786.50","2,805.10","2,772.40","2,733.20","2,806.20","2,685.20","2,725.40"
55-59,57.5,"1,714.30","1,731.70","1,828.40","1,735.50","1,686.20","1,633.90","1,577.90","1,486.40","1,524.40","1,504.40","1,468.10","1,449.90","1,435.80","1,375.90","1,361.50","1,413.00","1,436.40","1,437.90","1,372.60","1,368.50","1,344.90","1,319.00","1,251.80","1,248.80","1,315.20","1,346.70","1,410.00","1,471.70","1,551.20","1,572.60","1,580.70","1,572.80","1,644.00","1,603.00","1,679.60"
60-64,62.5,"1,132.00","1,155.00","1,211.60","1,152.30","1,126.80","1,072.50","1,067.20",963.1,970.9,955.8,945.8,901.2,889.1,865.9,869.2,895.2,898,897.9,847.1,831.9,834.8,808.1,762.8,758,795.7,786.8,811.3,800.3,832.8,839.9,827.5,813.2,860.4,847.9,891.1
